Week,ASELSAN
8/7/2011,9
8/14/2011,18
8/21/2011,11
8/28/2011,8
9/4/2011,15
9/11/2011,18
9/18/2011,14
9/25/2011,15
10/2/2011,14
10/9/2011,12
10/16/2011,15
10/23/2011,13
10/30/2011,12
11/6/2011,11
11/13/2011,14
11/20/2011,11
11/27/2011,18
12/4/2011,13
12/11/2011,12
12/18/2011,13
12/25/2011,14
1/1/2012,13
1/8/2012,12
1/15/2012,12
1/22/2012,10
1/29/2012,12
2/5/2012,12
2/12/2012,12
2/19/2012,11
2/26/2012,15
3/4/2012,15
3/11/2012,13
3/18/2012,10
3/25/2012,12
4/1/2012,12
4/8/2012,11
4/15/2012,11
4/22/2012,10
4/29/2012,10
5/6/2012,11
5/13/2012,10
5/20/2012,10
5/27/2012,100
6/3/2012,61
6/10/2012,16
6/17/2012,15
6/24/2012,18
7/1/2012,16
7/8/2012,13
7/15/2012,12
7/22/2012,13
7/29/2012,12
8/5/2012,12
8/12/2012,11
8/19/2012,11
8/26/2012,10
9/2/2012,12
9/9/2012,11
9/16/2012,12
9/23/2012,16
9/30/2012,15
10/7/2012,12
10/14/2012,12
10/21/2012,8
10/28/2012,11
11/4/2012,12
11/11/2012,12
11/18/2012,11
11/25/2012,12
12/2/2012,11
12/9/2012,12
12/16/2012,11
12/23/2012,12
12/30/2012,13
1/6/2013,9
1/13/2013,10
1/20/2013,17
1/27/2013,11
2/3/2013,16
2/10/2013,11
2/17/2013,11
2/24/2013,16
3/3/2013,15
3/10/2013,11
3/17/2013,11
3/24/2013,11
3/31/2013,10
4/7/2013,9
4/14/2013,10
4/21/2013,9
4/28/2013,10
5/5/2013,13
5/12/2013,11
5/19/2013,11
5/26/2013,10
6/2/2013,10
6/9/2013,10
6/16/2013,9
6/23/2013,10
6/30/2013,10
7/7/2013,9
7/14/2013,9
7/21/2013,10
7/28/2013,10
8/4/2013,9
8/11/2013,9
8/18/2013,10
8/25/2013,9
9/1/2013,12
9/8/2013,8
9/15/2013,10
9/22/2013,9
9/29/2013,9
10/6/2013,10
10/13/2013,6
10/20/2013,9
10/27/2013,8
11/3/2013,9
11/10/2013,7
11/17/2013,8
11/24/2013,9
12/1/2013,9
12/8/2013,12
12/15/2013,10
12/22/2013,10
12/29/2013,9
1/5/2014,9
1/12/2014,8
1/19/2014,9
1/26/2014,9
2/2/2014,10
2/9/2014,10
2/16/2014,9
2/23/2014,11
3/2/2014,12
3/9/2014,10
3/16/2014,10
3/23/2014,10
3/30/2014,10
4/6/2014,10
4/13/2014,10
4/20/2014,10
4/27/2014,10
5/4/2014,10
5/11/2014,9
5/18/2014,10
5/25/2014,12
6/1/2014,10
6/8/2014,11
6/15/2014,10
6/22/2014,9
6/29/2014,8
7/6/2014,9
7/13/2014,11
7/20/2014,11
7/27/2014,7
8/3/2014,12
8/10/2014,10
8/17/2014,10
8/24/2014,10
8/31/2014,10
9/7/2014,11
9/14/2014,10
9/21/2014,9
9/28/2014,8
10/5/2014,10
10/12/2014,10
10/19/2014,10
10/26/2014,9
11/2/2014,10
11/9/2014,10
11/16/2014,9
11/23/2014,10
11/30/2014,10
12/7/2014,9
12/14/2014,11
12/21/2014,14
12/28/2014,8
1/4/2015,9
1/11/2015,59
1/18/2015,17
1/25/2015,10
2/1/2015,10
2/8/2015,9
2/15/2015,11
2/22/2015,12
3/1/2015,16
3/8/2015,13
3/15/2015,20
3/22/2015,14
3/29/2015,14
4/5/2015,12
4/12/2015,11
4/19/2015,10
4/26/2015,10
5/3/2015,13
5/10/2015,11
5/17/2015,9
5/24/2015,9
5/31/2015,10
6/7/2015,9
6/14/2015,8
6/21/2015,9
6/28/2015,9
7/5/2015,10
7/12/2015,9
7/19/2015,9
7/26/2015,13
8/2/2015,11
8/9/2015,10
8/16/2015,11
8/23/2015,10
8/30/2015,11
9/6/2015,11
9/13/2015,10
9/20/2015,8
9/27/2015,11
10/4/2015,12
10/11/2015,11
10/18/2015,12
10/25/2015,9
11/1/2015,8
11/8/2015,9
11/15/2015,13
11/22/2015,14
11/29/2015,25
12/6/2015,20
12/13/2015,18
12/20/2015,14
12/27/2015,15
1/3/2016,14
1/10/2016,13
1/17/2016,14
1/24/2016,12
1/31/2016,11
2/7/2016,12
2/14/2016,13
2/21/2016,35
2/28/2016,21
3/6/2016,17
3/13/2016,15
3/20/2016,16
3/27/2016,15
4/3/2016,13
4/10/2016,15
4/17/2016,14
4/24/2016,13
5/1/2016,14
5/8/2016,14
5/15/2016,12
5/22/2016,16
5/29/2016,16
6/5/2016,15
6/12/2016,12
6/19/2016,14
6/26/2016,12
7/3/2016,8
7/10/2016,12
7/17/2016,12
7/24/2016,12
7/31/2016,17
8/7/2016,14
8/14/2016,13
8/21/2016,13
8/28/2016,14
