Date,Open,High,Low,Close,Volume,Adj Close
9/2/2011,7.38,7.50001,7.16,7.38,3230500,1.61233
9/5/2011,7.2,7.58002,7.16,7.36002,3186900,1.60796
9/12/2011,7.32001,7.6,7.24001,7.46001,2255200,1.62981
9/19/2011,7.32001,7.82,7.12,7.25999,3904600,1.58611
9/26/2011,7.29999,7.51999,7.10001,7.32001,2161800,1.59922
10/3/2011,7.36002,7.43998,7.2,7.32001,2074600,1.59922
10/10/2011,7.33999,7.84002,7.29999,7.65998,6471900,1.6735
10/17/2011,7.69999,7.73999,7.40002,7.64,3331700,1.66913
10/24/2011,7.58002,7.69999,7.51999,7.65998,1350500,1.6735
10/31/2011,7.54001,7.76001,7.21998,7.62002,2271300,1.66476
11/10/2011,7.54001,7.65998,7.42,7.62002,1690800,1.66476
11/14/2011,7.62002,7.72001,7.36002,7.46001,1809700,1.62981
11/21/2011,7.28001,7.47999,7.12,7.38,1606200,1.61233
11/28/2011,7.46001,8.20001,7.33999,8.08,5521300,1.76526
12/5/2011,8.16001,8.24002,7.6,7.90001,2940400,1.72593
12/12/2011,7.76001,8.13999,7.68001,7.99999,3465700,1.74778
12/19/2011,7.90001,8.43999,7.76001,8.26,4097900,1.80458
12/26/2011,8.21999,8.3,8.09998,8.17999,2035500,1.7871
1/2/2012,8.16001,8.31998,8.09998,8.16001,2009500,1.78274
1/9/2012,7.98001,8.3,7.94001,8.16001,1991900,1.78274
1/16/2012,8.60001,8.97998,8.13999,8.86001,4976600,1.93567
1/23/2012,9,9.08001,8.82001,8.96,1889800,1.95751
1/30/2012,9.01998,9.16002,8.90001,9,2262800,1.96625
2/6/2012,8.97998,9.41998,8.90001,9.4,3772600,2.05364
2/13/2012,9.56001,9.67998,9.22,9.66,3440700,2.11044
2/20/2012,9.66,9.86002,9.34001,9.45998,2760500,2.06675
2/27/2012,9.38002,9.56001,9.31999,9.38002,947900,2.04928
3/5/2012,9.56001,9.64002,9.09999,9.14,2187900,1.99684
3/12/2012,9.01998,9.88,8.87999,9.86002,2869700,2.15414
3/19/2012,10.00001,10.8,9.79999,10.65002,7808400,2.32674
3/26/2012,10.70002,10.8,10.35001,10.59999,2017900,2.3158
4/2/2012,10.54999,10.70002,10.24998,10.40001,1378400,2.27212
4/9/2012,10.30002,10.89999,10.19999,10.40001,2204700,2.27212
4/16/2012,10.54999,10.70002,9.4,10.24998,1301700,2.23934
4/23/2012,10.24998,10.75001,9.89998,10.5,935400,2.29396
4/30/2012,10.59999,11.10001,10.35001,10.85,2169300,2.37043
5/7/2012,10.8,11.15001,10.54999,10.89999,2228700,2.38135
5/14/2012,10.59999,10.99998,9.95002,10.14999,2313800,2.21749
5/21/2012,10.19999,10.35001,9.35999,9.62,1067100,2.1017
5/28/2012,9.64002,10.19999,9.53999,9.89998,2457100,2.16287
6/4/2012,9.92001,10.75001,9.75999,10.45,2127400,2.28304
6/11/2012,10.59999,11.10001,10.5,10.70002,2586200,2.33766
6/18/2012,10.75001,11.10001,10.65002,10.89999,1546600,2.38135
6/25/2012,10.89999,11.24999,10.75001,11.2,2189700,2.44689
7/2/2012,11.55,12.20001,11.05002,12.20001,2266400,2.66537
7/9/2012,12.60001,12.74999,12.04998,12.55001,1402100,2.74183
7/16/2012,12.50002,12.69999,12.3,12.34999,634900,2.69813
7/23/2012,11.95,12.39999,11.75002,11.9,1043900,2.59982
7/30/2012,12.04998,12.50002,11.9,12.25,1422700,2.67629
8/6/2012,6.1,6.2,5.76,5.9,2208700,2.73987
8/13/2012,5.92,5.94,5.74,5.88,951400,2.73058
8/20/2012,5.88,6.16,5.88,6.08,1198400,2.82346
8/27/2012,6.08,6.66,6.06,6.6,2890800,3.06494
9/3/2012,6.82,6.98,6.52,6.56,3817800,3.04637
9/10/2012,6.54,6.64,6.3,6.34,3367000,2.9442
9/17/2012,6.3,6.42,6.16,6.4,2200900,2.97206
9/24/2012,6.54,6.62,6.34,6.5,2149400,3.0185
10/1/2012,6.56,7.16,6.42,6.94,6299000,3.22283
10/8/2012,6.9,7.06,6.76,6.86,2207200,3.18568
10/15/2012,6.84,6.88,6.42,6.6,2666100,3.06494
10/22/2012,6.6,6.7,6.56,6.66,794100,3.0928
10/29/2012,6.66,6.86,6.66,6.68,1062700,3.10209
11/5/2012,6.7,6.82,6.58,6.8,1608500,3.15782
11/12/2012,6.72,6.84,6.48,6.48,2135200,3.00922
11/19/2012,6.64,6.84,6.52,6.72,1835200,3.12067
11/26/2012,6.78,6.84,6.7,6.78,1153600,3.14853
12/3/2012,6.82,7.08,6.76,7.06,3185000,3.27856
12/10/2012,7.42,8.2,7.06,7.84,5303000,3.64078
