Date,Open,High,Low,Close,Volume,Adj Close
9/5/2011,19.5,20.1,19,19.85,144100,18.53
9/12/2011,19.75,21.5,19.4,21.1,395000,19.69
9/19/2011,21.25,22.9,20.75,20.8,464900,19.41
9/26/2011,21.6,21.75,20.25,21.15,375200,19.74
10/3/2011,21.5,21.75,20.6,20.75,327600,19.37
10/10/2011,20.8,21,19.75,20.2,316300,18.85
10/17/2011,20.25,22.6,20.25,22,595300,20.53
10/24/2011,21.85,22.1,20.85,21,228900,19.6
10/31/2011,21.1,22.65,21,21.2,314600,19.79
11/10/2011,21.1,21.45,20.8,21.2,327100,19.79
11/14/2011,21.25,21.95,21.1,21.75,310600,20.3
11/21/2011,21.7,22,21.3,21.8,315600,20.35
11/28/2011,21.85,22.8,21.4,22.2,214600,20.72
12/5/2011,22.65,23.7,22.45,23.6,121100,22.03
12/12/2011,23.7,23.8,22.7,22.8,141600,21.28
12/19/2011,22.9,23.8,21.45,23.45,117000,21.89
12/26/2011,23.3,23.85,22.95,23.35,75900,21.79
1/2/2012,23.4,23.75,22.9,23.4,184600,21.84
1/9/2012,23.35,25.2,23.05,25.1,337100,23.43
1/16/2012,24.9,25.4,23.55,24,415400,22.4
1/23/2012,23.9,24.5,23.2,24.2,1099100,22.59
1/30/2012,24.5,26,24.05,25.2,477600,23.52
2/6/2012,26.5,26.6,24.7,24.9,178400,23.24
2/13/2012,25.1,26.5,24.9,25.9,264200,24.17
2/20/2012,25.6,26.6,25.4,26.5,206200,24.73
2/27/2012,26.1,27.1,25.8,26.1,201800,24.36
3/5/2012,25.1,26.3,24.3,24.5,256200,22.87
3/12/2012,24.4,24.8,23.75,24.8,230500,23.15
3/19/2012,24.95,25.3,24.6,25,136200,23.33
3/26/2012,25,25.2,24.6,24.9,228600,23.24
4/2/2012,24.7,24.85,23.85,24.5,168500,22.87
4/9/2012,24.35,24.5,23.95,24.15,71300,22.54
4/16/2012,24,24.15,23.85,23.95,134000,22.35
4/23/2012,23.95,24.85,23.95,24.85,166200,23.19
4/30/2012,24.75,25.2,24.5,24.9,180300,23.24
5/7/2012,25,25.15,24.6,24.8,209700,23.15
5/14/2012,24.1,24.8,22.55,24,141000,22.4
